"probe","GSM302859","GSM302864","GSM302866","GSM302870","GSM302872","GSM302882","GSM302896","GSM302900","GSM302924","GSM302927","GSM302933","GSM302943","GSM303364","GSM303366","GSM303368","GSM303520","GSM303522","GSM303523","GSM303525","GSM303531","GSM303533"
"205421_at",57.6472,2.41683,93.037,0.736761,5.81261,6.81227,29.8397,26.6035,85.1543,13.5207,49.3884,65.1021,58.2615,1.82308,27.7865,0.698971,31.3335,6.18081,2.48059,32.8468,15.2462
"205422_s_at",280.796,1592.1,767.678,2541.61,565.768,2365.72,2591.63,1460.96,695.663,772.165,1160.93,1213.3,761.984,2074.2,291.143,422.363,896.127,2084.22,3530.71,4499.93,1220.76
"205423_at",567.451,917.761,199.435,221.116,427.176,400.562,515.3,713.368,362.394,583.04,884.404,762.232,411.583,602.003,615.887,681.465,247.992,1390.33,1111.24,990.496,944.008
"205424_at",41.1838,60.8999,68.6614,38.1273,22.1916,64.1069,29.0485,31.6598,53.1981,43.2702,43.1544,35.3126,60.3757,94.2761,35.6571,91.957,43.1229,90.514,89.1466,71.2385,231.618
"205425_at",518.1,417.181,327.443,398.419,161.204,347.992,309.232,60.4052,321.973,230.162,73.2901,251.064,155.065,238.682,156.747,182.778,461.436,288.619,301.664,372.433,260.301
"205426_s_at",228.484,122.45,167.452,257.101,155.972,175.043,195.288,108.77,330.834,200.215,100.011,163.138,88.1344,145.88,107.347,275.779,231.933,349.509,393.105,311.1,323.397
"205427_at",156.659,67.1838,128.089,32.4027,50.0409,122.827,163.685,109.68,113.044,98.1505,129.233,73.4958,87.52,139.436,76.6984,90.6657,88.1685,100.95,141.156,99.6523,35.0481
"205428_s_at",83.8749,67.1723,639.625,116.857,162.595,106.066,92.1702,92.2715,507.715,105.751,94.2787,85.0704,181.866,103.411,425.927,146.24,453.528,95.8885,129.231,102.342,134.33
"205429_s_at",43.6063,88.9998,95.0514,225.318,31.1908,38.6481,13.448,48.9656,8.77214,30.0965,38.2265,6.66104,21.4231,7.37266,8.82684,45.9609,208.934,6.65347,8.7663,73.0455,40.2166
"205430_at",35.4186,133.315,56.922,4.28374,77.0218,2.72598,17.3624,7.58245,285.513,15.1159,3.22364,30.1225,60.4393,70.7059,9.29162,9.20063,225.335,29.3658,39.1941,17.1805,24.3107
"205431_s_at",146.045,156.535,136.274,144.147,446.684,150.856,194.217,76.343,857.179,122.714,101.757,98.8641,288.475,209.228,129.306,191.026,449.967,188.696,168.055,146.365,282.008
