sex,ensembl_id,logFC_response,p_response,fdr_response,p_response_x_drug,fdr_response_x_drug,n
male,ENSG00000164512,-0.82097910166413,0.124221740920688,0.991248756653092,0.00094796937644591,0.573395076832916,23
male,ENSG00000164867,-0.977383209077482,0.0760278848756192,0.991248756653092,0.678752229207623,0.966024802475966,23
male,ENSG00000165609,0.264327593519852,0.00135151807392747,0.991248756653092,0.903256988099532,0.992357555257649,23
male,ENSG00000165644,-0.318828799886625,0.106891816765315,0.991248756653092,0.853557246892033,0.984968532575362,23
male,ENSG00000170325,0.398442710305302,0.00339690266918839,0.991248756653092,0.141353358299372,0.873088429136396,23
male,ENSG00000172167,-0.306837741993072,0.175420856494431,0.991248756653092,0.955423612507427,0.996443294014585,23
male,ENSG00000175054,0.260307537685493,0.000724561523587558,0.991248756653092,0.622470513013264,0.960635864092596,23
male,ENSG00000175344,0.350982975021834,0.634260330798989,0.998140467490338,0.915777286978339,0.993094252559144,23
male,ENSG00000179934,0.432599420255705,0.26551729325579,0.991248756653092,0.697401668182368,0.969339670644922,23
male,ENSG00000182158,0.375670045423667,0.00163870019422492,0.991248756653092,0.327142095512973,0.919934614786306,23
male,ENSG00000183423,0.747496320992968,0.331918912461385,0.991248756653092,0.865869822828079,0.986965796648886,23
male,ENSG00000185518,-1.57732838471251,0.0295494175348558,0.991248756653092,0.0539862127685858,0.839630381064626,23
male,ENSG00000199436,0.366113949682145,0.62723315533616,0.998140467490338,0.902509684471164,0.992357555257649,23
male,ENSG00000213533,0.443751744909474,0.000165901930150808,0.991248756653092,0.3774760419979,0.931009786582815,23
male,ENSG00000214184,-1.0780895451933,0.142853985339764,0.991248756653092,0.00181270148093341,0.576906431809824,23
male,ENSG00000224616,0.071308018062621,0.909851302337248,0.998140467490338,0.776840320910475,0.980131601734947,23
male,ENSG00000229358,0.382388556786038,0.700749165697828,0.998140467490338,0.474269339559468,0.94870189866492,23
male,ENSG00000230626,-1.60493695288464,0.00195842151782051,0.991248756653092,0.43293972200148,0.939405949329591,23
male,ENSG00000232818,-0.0714775998560985,0.928882559643672,0.998140467490338,0.665213824318451,0.964749450208394,23
male,ENSG00000234493,-0.463616359547378,0.570217418062337,0.997932744769543,0.230262583046081,0.905566748194019,23
male,ENSG00000237788,2.14008721970597,0.00125333021084043,0.991248756653092,0.264359156830485,0.907452066507556,23
male,ENSG00000240230,0.292454261795127,0.00344646410425948,0.991248756653092,0.0506788071090597,0.839630381064626,23
male,ENSG00000249129,0.0497507109730065,0.945232092195914,0.998140467490338,0.487313174605263,0.950266419017487,23
male,ENSG00000253409,-1.86588607085672,0.012062694454334,0.991248756653092,0.0122198566373667,0.813249449168925,23
male,ENSG00000259343,-2.2512635789958,0.000302892696835797,0.991248756653092,0.0773996062954721,0.839630381064626,23
male,ENSG00000279161,-1.61468141569328,0.0844563896148992,0.991248756653092,0.413845384498291,0.935340755537769,23
