gene,eQTL_MR_OR,eQTL_MR_pval,eQTL_MR_FDR,eQTL_MHC_region
MCRS1,1.18,0.3754882,0.814440736,FALSE
NBR1,1.05,0.5157376,0.872852286,FALSE
SUMO2,0.97,0.6450086,0.928172292,FALSE
LRRK2,1.01,0.7932818,0.959272702,FALSE
JPT1,1.06,0.6167482,0.918308534,FALSE
LIN54,1.01,0.9400806,0.987106634,FALSE
HMGB1,0.83,0.3019448,0.769121173,FALSE
STK40,1.11,0.627548,0.924655701,FALSE
SUPT5H,0.83,0.04785552,0.421886311,FALSE
TRRAP,1.08,0.4350676,0.839704534,FALSE
PTPN1,0.93,0.1812395,0.671865319,FALSE
SIAH1,1.07,0.5851345,0.904696877,FALSE
MME,0.93,0.4965384,0.866335084,FALSE
MRTFA,1.31,0.03551475,0.371992722,FALSE
NF1,1.06,0.2742392,0.748654187,FALSE
MAP3K5,1.02,0.5157439,0.872852286,FALSE
HNRNPAB,1.1,0.0610751,0.469378436,FALSE
ATG7,0.99,0.833526,0.966129612,FALSE
SERPINB2,1.01,0.9053932,0.980925934,FALSE
S100A6,1.17,0.3070599,0.771752399,FALSE
IRAK4,0.93,0.3499158,0.796697792,FALSE
ENTPD7,1.07,0.7480826,0.950668422,FALSE
GRK6,1.17,0.4437414,0.842362921,FALSE
MARCHF5,1.12,0.1314473,0.611693556,FALSE
LPAR1,0.97,0.1002751,0.563903777,FALSE
ASPH,1.03,0.5927036,0.908285156,FALSE
ITSN2,1.01,0.958703,0.991893345,FALSE
PAPSS2,0.93,0.217291,0.706499815,FALSE
MTOR,1.02,0.7324719,0.946656886,FALSE
OPA1,0.92,0.03912562,0.387578145,FALSE
PRMT6,0.98,0.2782259,0.751363064,FALSE
LAYN,1.1,0.4469666,0.842873695,FALSE
LIN52,0.99,0.8666236,0.972474067,FALSE
SELENOH,1.06,0.2572586,0.739087168,FALSE
ACKR1,0.99,0.7581824,0.95184189,FALSE
NRAS,1.28,0.3693486,0.809596868,FALSE
CHUK,1.02,0.8674645,0.972546977,FALSE
DDAH2,0.66,2.05e-18,9.49e-16,TRUE
FIS1,1.05,0.07282426,0.504420586,FALSE
PHB2,1.09,0.6045435,0.914444845,FALSE
MIF,1.07,0.2797494,0.752578858,FALSE
EID3,0.98,0.8118885,0.96228523,FALSE
FNTB,1,0.993663,0.998316174,FALSE
CUX1,1.03,0.7402193,0.948362565,FALSE
ITGB3,1.05,0.5746105,0.898691051,FALSE
